0:0:0:0:0:0:0:1 - - [19/May/2017:19:10:00 -0300] "POST /Livraria/faces/pages/Estados.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [19/May/2017:19:10:02 -0300] "POST /Livraria/faces/pages/Estados.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [19/May/2017:19:10:09 -0300] "POST /Livraria/faces/pages/Estados.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [19/May/2017:19:10:10 -0300] "POST /Livraria/faces/pages/Estados.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [19/May/2017:19:10:14 -0300] "POST /Livraria/faces/pages/Estados.xhtml HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [19/May/2017:19:11:03 -0300] "POST /Livraria/faces/pages/Estados.xhtml HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [19/May/2017:19:11:05 -0300] "GET /Livraria/faces/pages/Estados.xhtml HTTP/1.1" 200 8240
0:0:0:0:0:0:0:1 - - [19/May/2017:19:11:05 -0300] "GET /Livraria/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2017:19:11:05 -0300] "GET /Livraria/faces/javax.faces.resource/core.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2017:19:11:05 -0300] "GET /Livraria/faces/javax.faces.resource/components.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2017:19:11:05 -0300] "GET /Livraria/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2017:19:11:05 -0300] "GET /Livraria/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2017:19:11:05 -0300] "GET /Livraria/faces/javax.faces.resource/components.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2017:19:11:05 -0300] "GET /Livraria/faces/javax.faces.resource/images/ui-icons_38667f_256x240.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2017:19:11:08 -0300] "POST /Livraria/faces/pages/Estados.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [19/May/2017:19:11:08 -0300] "GET /Livraria/faces/javax.faces.resource/images/ui-bg_flat_0_2d5972_40x100.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2017:19:11:14 -0300] "POST /Livraria/faces/pages/Estados.xhtml HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [19/May/2017:19:11:14 -0300] "GET /Livraria/faces/javax.faces.resource/messages/messages.png?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2017:19:11:14 -0300] "GET /Livraria/faces/javax.faces.resource/images/ui-icons_2e83ff_256x240.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2017:19:11:34 -0300] "POST /Livraria/faces/pages/Venda.xhtml;jsessionid=8D50DB4D70780208AFD628237E4F9D5C HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [19/May/2017:19:11:35 -0300] "POST /Livraria/faces/pages/Venda.xhtml;jsessionid=8D50DB4D70780208AFD628237E4F9D5C HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [19/May/2017:19:12:00 -0300] "POST /Livraria/faces/pages/Estados.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [19/May/2017:19:12:02 -0300] "POST /Livraria/faces/pages/Estados.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [19/May/2017:19:12:05 -0300] "POST /Livraria/faces/pages/Estados.xhtml HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [19/May/2017:19:24:14 -0300] "POST /Livraria/faces/pages/Estados.xhtml HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [19/May/2017:19:24:16 -0300] "POST /Livraria/faces/pages/Estados.xhtml HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [19/May/2017:19:24:17 -0300] "POST /Livraria/faces/pages/Estados.xhtml HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [19/May/2017:19:24:17 -0300] "POST /Livraria/faces/pages/Estados.xhtml HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [19/May/2017:19:24:17 -0300] "POST /Livraria/faces/pages/Estados.xhtml HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [19/May/2017:19:24:19 -0300] "GET /Livraria/faces/pages/Estados.xhtml HTTP/1.1" 200 8240
0:0:0:0:0:0:0:1 - - [19/May/2017:19:24:19 -0300] "GET /Livraria/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2017:19:24:19 -0300] "GET /Livraria/faces/javax.faces.resource/components.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2017:19:24:19 -0300] "GET /Livraria/faces/javax.faces.resource/components.css?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2017:19:24:19 -0300] "GET /Livraria/faces/javax.faces.resource/core.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2017:19:24:19 -0300] "GET /Livraria/faces/javax.faces.resource/theme.css?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2017:19:24:19 -0300] "GET /Livraria/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2017:19:24:20 -0300] "GET /Livraria/faces/javax.faces.resource/images/ui-icons_38667f_256x240.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2017:19:24:22 -0300] "POST /Livraria/faces/pages/Estados.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [19/May/2017:19:24:22 -0300] "GET /Livraria/faces/javax.faces.resource/images/ui-bg_flat_0_2d5972_40x100.png?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2017:19:24:29 -0300] "POST /Livraria/faces/pages/Estados.xhtml HTTP/1.1" 200 511
0:0:0:0:0:0:0:1 - - [19/May/2017:19:24:29 -0300] "GET /Livraria/faces/javax.faces.resource/messages/messages.png?ln=primefaces&v=6.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/May/2017:19:24:29 -0300] "GET /Livraria/faces/javax.faces.resource/images/ui-icons_2e83ff_256x240.png?ln=primefaces-aristo HTTP/1.1" 304 -
